MAS: Financial Database - Domestic Interest Rates

Domestic Interest Rates (Daily)
Jan 2017 to Feb 2026


SORA Value Date,,,SORA Publication Date,Compound SORA - 3 month
,,15,18 Dec 2023,3.7445
,,18,19 Dec 2023,3.7442
,,19,20 Dec 2023,3.7440
,,20,21 Dec 2023,3.7410
,,21,22 Dec 2023,3.7388
,,22,26 Dec 2023,3.7228
,,26,27 Dec 2023,3.7182
,,27,28 Dec 2023,3.7130
,,28,29 Dec 2023,3.7090
,,29,02 Jan 2024,3.7018


SORA Value Date,,,SORA Publication Date,Compound SORA - 3 month
2024,Jan,02,03 Jan 2024,3.7012
,,03,04 Jan 2024,3.7038
,,04,05 Jan 2024,3.7063
,,05,08 Jan 2024,3.7039
,,08,09 Jan 2024,3.7030
,,09,10 Jan 2024,3.7032
,,10,11 Jan 2024,3.7040
,,11,12 Jan 2024,3.7057
,,12,15 Jan 2024,3.7060
,,15,16 Jan 2024,3.7039
,,16,17 Jan 2024,3.7029
,,17,18 Jan 2024,3.7008
,,18,19 Jan 2024,3.6984
,,19,22 Jan 2024,3.6841
,,22,23 Jan 2024,3.6800
,,23,24 Jan 2024,3.6763
,,24,25 Jan 2024,3.6728
,,25,26 Jan 2024,3.6707
,,26,29 Jan 2024,3.6632
,,29,30 Jan 2024,3.6609
,,30,31 Jan 2024,3.6571
,,31,01 Feb 2024,3.6548
,Feb,01,02 Feb 2024,3.6524
,,02,05 Feb 2024,3.6443
,,05,06 Feb 2024,3.6424
,,06,07 Feb 2024,3.6427
,,07,08 Feb 2024,3.6429
,,08,09 Feb 2024,3.6427
,,09,13 Feb 2024,3.6379
,,13,14 Feb 2024,3.6349
,,14,15 Feb 2024,3.6340
,,15,16 Feb 2024,3.6346
,,16,19 Feb 2024,3.6346
,,19,20 Feb 2024,3.6343
,,20,21 Feb 2024,3.6353
,,21,22 Feb 2024,3.6335
,,22,23 Feb 2024,3.6347
,,23,26 Feb 2024,3.6412
,,26,27 Feb 2024,3.6427
,,27,28 Feb 2024,3.6433
,,28,29 Feb 2024,3.6466
,,29,01 Mar 2024,3.6488
,Mar,01,04 Mar 2024,3.6519
,,04,05 Mar 2024,3.6509
,,05,06 Mar 2024,3.6496
,,06,07 Mar 2024,3.6480
,,07,08 Mar 2024,3.6449
,,08,11 Mar 2024,3.6367
,,11,12 Mar 2024,3.6328
,,12,13 Mar 2024,3.6273
,,13,14 Mar 2024,3.6204
,,14,15 Mar 2024,3.6171
,,15,18 Mar 2024,3.6118
,,18,19 Mar 2024,3.6131
,,19,20 Mar 2024,3.6165
,,20,21 Mar 2024,3.6211
,,21,22 Mar 2024,3.6277
,,22,25 Mar 2024,3.6564
,,25,26 Mar 2024,3.6634
,,26,27 Mar 2024,3.6690
,,27,28 Mar 2024,3.6762
,,28,01 Apr 2024,3.6829
,Apr,01,02 Apr 2024,3.6838
,,02,03 Apr 2024,3.6838
,,03,04 Apr 2024,3.6804
,,04,05 Apr 2024,3.6771
,,05,08 Apr 2024,3.6666
,,08,09 Apr 2024,3.6615
,,09,11 Apr 2024,3.6540
,,11,12 Apr 2024,3.6497
,,12,15 Apr 2024,3.6406
,,15,16 Apr 2024,3.6387
,,16,17 Apr 2024,3.6363
,,17,18 Apr 2024,3.6329
,,18,19 Apr 2024,3.6319
,,19,22 Apr 2024,3.6390
,,22,23 Apr 2024,3.6397
,,23,24 Apr 2024,3.6403
,,24,25 Apr 2024,3.6416
,,25,26 Apr 2024,3.6421
,,26,29 Apr 2024,3.6466
,,29,30 Apr 2024,3.6465
,,30,02 May 2024,3.6491
,May,02,03 May 2024,3.6508
,,03,06 May 2024,3.6583
,,06,07 May 2024,3.6598
,,07,08 May 2024,3.6626
,,08,09 May 2024,3.6691
,,09,10 May 2024,3.6742
,,10,13 May 2024,3.6917
,,13,14 May 2024,3.6957
,,14,15 May 2024,3.6972
,,15,16 May 2024,3.6962
,,16,17 May 2024,3.6939
,,17,20 May 2024,3.6872
,,20,21 May 2024,3.6852
,,21,23 May 2024,3.6807
,,23,24 May 2024,3.6776
,,24,27 May 2024,3.6732
,,27,28 May 2024,3.6727
,,28,29 May 2024,3.6700
,,29,30 May 2024,3.6689
,,30,31 May 2024,3.6678
,,31,03 Jun 2024,3.6597
,Jun,03,04 Jun 2024,3.6602
,,04,05 Jun 2024,3.6624
,,05,06 Jun 2024,3.6651
,,06,07 Jun 2024,3.6656
,,07,10 Jun 2024,3.6723
,,10,11 Jun 2024,3.6717
,,11,12 Jun 2024,3.6721
,,12,13 Jun 2024,3.6742
,,13,14 Jun 2024,3.6769
,,14,18 Jun 2024,3.6867
,,18,19 Jun 2024,3.6856
,,19,20 Jun 2024,3.6836
,,20,21 Jun 2024,3.6806
,,21,24 Jun 2024,3.6633
,,24,25 Jun 2024,3.6568
,,25,26 Jun 2024,3.6516
,,26,27 Jun 2024,3.6478
,,27,28 Jun 2024,3.6428
,,28,01 Jul 2024,3.6336
,Jul,01,02 Jul 2024,3.6305
,,02,03 Jul 2024,3.6283
,,03,04 Jul 2024,3.6279
,,04,05 Jul 2024,3.6275
,,05,08 Jul 2024,3.6311
,,08,09 Jul 2024,3.6321
,,09,10 Jul 2024,3.6320
,,10,11 Jul 2024,3.6329
,,11,12 Jul 2024,3.6337
,,12,15 Jul 2024,3.6365
,,15,16 Jul 2024,3.6376
,,16,17 Jul 2024,3.6386
,,17,18 Jul 2024,3.6412
,,18,19 Jul 2024,3.6423
,,19,22 Jul 2024,3.6402
,,22,23 Jul 2024,3.6397
,,23,24 Jul 2024,3.6393
,,24,25 Jul 2024,3.6395
,,25,26 Jul 2024,3.6400
,,26,29 Jul 2024,3.6399
,,29,30 Jul 2024,3.6403
,,30,31 Jul 2024,3.6389
,,31,01 Aug 2024,3.6381
,Aug,01,02 Aug 2024,3.6384
,,02,05 Aug 2024,3.6340
,,05,06 Aug 2024,3.6325
,,06,07 Aug 2024,3.6303
,,07,08 Aug 2024,3.6279
,,08,12 Aug 2024,3.6110
,,12,13 Aug 2024,3.6070
,,13,14 Aug 2024,3.6066
,,14,15 Aug 2024,3.6062
,,15,16 Aug 2024,3.6051
,,16,19 Aug 2024,3.6032
,,19,20 Aug 2024,3.6027
,,20,21 Aug 2024,3.6001
,,21,22 Aug 2024,3.5973
,,22,23 Aug 2024,3.5944
,,23,26 Aug 2024,3.5811
,,26,27 Aug 2024,3.5761
,,27,28 Aug 2024,3.5723
,,28,29 Aug 2024,3.5702
,,29,30 Aug 2024,3.5690
,,30,02 Sep 2024,3.5694
,Sep,02,03 Sep 2024,3.5686
,,03,04 Sep 2024,3.5657
,,04,05 Sep 2024,3.5619
,,05,06 Sep 2024,3.5578
,,06,09 Sep 2024,3.5515
,,09,10 Sep 2024,3.5479
,,10,11 Sep 2024,3.5468
,,11,12 Sep 2024,3.5468
,,12,13 Sep 2024,3.5456
,,13,16 Sep 2024,3.5395
,,16,17 Sep 2024,3.5370
,,17,18 Sep 2024,3.5334
,,18,19 Sep 2024,3.5305
,,19,20 Sep 2024,3.5240
,,20,23 Sep 2024,3.5103
,,23,24 Sep 2024,3.5046
,,24,25 Sep 2024,3.4988
,,25,26 Sep 2024,3.4944
,,26,27 Sep 2024,3.4924
,,27,30 Sep 2024,3.4882
,,30,01 Oct 2024,3.4932
,Oct,01,02 Oct 2024,3.4966
,,02,03 Oct 2024,3.4987
,,03,04 Oct 2024,3.5000
,,04,07 Oct 2024,3.5013
,,07,08 Oct 2024,3.5010
,,08,09 Oct 2024,3.5002
,,09,10 Oct 2024,3.4991
,,10,11 Oct 2024,3.4949
,,11,14 Oct 2024,3.4808
,,14,15 Oct 2024,3.4757
,,15,16 Oct 2024,3.4704
,,16,17 Oct 2024,3.4637
,,17,18 Oct 2024,3.4566
,,18,21 Oct 2024,3.4371
,,21,22 Oct 2024,3.4314
,,22,23 Oct 2024,3.4266
,,23,24 Oct 2024,3.4215
,,24,25 Oct 2024,3.4150
,,25,28 Oct 2024,3.3948
,,28,29 Oct 2024,3.3884
,,29,30 Oct 2024,3.3834
,,30,01 Nov 2024,3.3769
,Nov,01,04 Nov 2024,3.3658
,,04,05 Nov 2024,3.3593
,,05,06 Nov 2024,3.3516
,,06,07 Nov 2024,3.3438
,,07,08 Nov 2024,3.3364
,,08,11 Nov 2024,3.3202
,,11,12 Nov 2024,3.3151
,,12,13 Nov 2024,3.3088
,,13,14 Nov 2024,3.3010
,,14,15 Nov 2024,3.2932
,,15,18 Nov 2024,3.2728
,,18,19 Nov 2024,3.2685
,,19,20 Nov 2024,3.2632
,,20,21 Nov 2024,3.2588
,,21,22 Nov 2024,3.2540
,,22,25 Nov 2024,3.2500
,,25,26 Nov 2024,3.2482
,,26,27 Nov 2024,3.2447
,,27,28 Nov 2024,3.2389
,,28,29 Nov 2024,3.2322
,,29,02 Dec 2024,3.2147
,Dec,02,03 Dec 2024,3.2093
,,03,04 Dec 2024,3.2039
,,04,05 Dec 2024,3.1988
,,05,06 Dec 2024,3.1909
,,06,09 Dec 2024,3.1676
,,09,10 Dec 2024,3.1640
,,10,11 Dec 2024,3.1598
,,11,12 Dec 2024,3.1546
,,12,13 Dec 2024,3.1509
,,13,16 Dec 2024,3.1413
,,16,17 Dec 2024,3.1370
,,17,18 Dec 2024,3.1327
,,18,19 Dec 2024,3.1276
,,19,20 Dec 2024,3.1263
,,20,23 Dec 2024,3.1272
,,23,24 Dec 2024,3.1232
,,24,26 Dec 2024,3.1143
,,26,27 Dec 2024,3.1047
,,27,30 Dec 2024,3.0799
,,30,31 Dec 2024,3.0717
,,31,02 Jan 2025,3.0346


SORA Value Date,,,SORA Publication Date,Compound SORA - 3 month
2025,Jan,02,03 Jan 2025,3.0227
,,03,06 Jan 2025,2.9962
,,06,07 Jan 2025,2.9883
,,07,08 Jan 2025,2.9805
,,08,09 Jan 2025,2.9744
,,09,10 Jan 2025,2.9700
,,10,13 Jan 2025,2.9701
,,13,14 Jan 2025,2.9683
,,14,15 Jan 2025,2.9666
,,15,16 Jan 2025,2.9642
,,16,17 Jan 2025,2.9594
,,17,20 Jan 2025,2.9364
,,20,21 Jan 2025,2.9284
,,21,22 Jan 2025,2.9221
,,22,23 Jan 2025,2.9162
,,23,24 Jan 2025,2.9157
,,24,27 Jan 2025,2.9180
,,27,28 Jan 2025,2.9175
,,28,31 Jan 2025,2.9182
,,31,03 Feb 2025,2.8993
,Feb,03,04 Feb 2025,2.8930
,,04,05 Feb 2025,2.8889
,,05,06 Feb 2025,2.8830
,,06,07 Feb 2025,2.8790
,,07,10 Feb 2025,2.8615
,,10,11 Feb 2025,2.8554
,,11,12 Feb 2025,2.8480
,,12,13 Feb 2025,2.8418
,,13,14 Feb 2025,2.8367
,,14,17 Feb 2025,2.8207
,,17,18 Feb 2025,2.8143
,,18,19 Feb 2025,2.8077
,,19,20 Feb 2025,2.8011
,,20,21 Feb 2025,2.7959
,,21,24 Feb 2025,2.7752
,,24,25 Feb 2025,2.7661
,,25,26 Feb 2025,2.7590
,,26,27 Feb 2025,2.7534
,,27,28 Feb 2025,2.7518
,,28,03 Mar 2025,2.7291
,Mar,03,04 Mar 2025,2.7208
,,04,05 Mar 2025,2.7129
,,05,06 Mar 2025,2.7078
,,06,07 Mar 2025,2.7018
,,07,10 Mar 2025,2.6736
,,10,11 Mar 2025,2.6624
,,11,12 Mar 2025,2.6518
,,12,13 Mar 2025,2.6395
,,13,14 Mar 2025,2.6282
,,14,17 Mar 2025,2.5997
,,17,18 Mar 2025,2.5917
,,18,19 Mar 2025,2.5857
,,19,20 Mar 2025,2.5796
,,20,21 Mar 2025,2.5712
,,21,24 Mar 2025,2.5569
,,24,25 Mar 2025,2.5571
,,25,26 Mar 2025,2.5592
,,26,27 Mar 2025,2.5641
,,27,28 Mar 2025,2.5618
,,28,01 Apr 2025,2.5507
,Apr,01,02 Apr 2025,2.5496
,,02,03 Apr 2025,2.5460
,,03,04 Apr 2025,2.5400
,,04,07 Apr 2025,2.5243
,,07,08 Apr 2025,2.5221
,,08,09 Apr 2025,2.5171
,,09,10 Apr 2025,2.5108
,,10,11 Apr 2025,2.5018
,,11,14 Apr 2025,2.4768
,,14,15 Apr 2025,2.4695
,,15,16 Apr 2025,2.4635
,,16,17 Apr 2025,2.4612
,,17,21 Apr 2025,2.4588
,,21,22 Apr 2025,2.4551
,,22,23 Apr 2025,2.4501
,,23,24 Apr 2025,2.4407
,,24,25 Apr 2025,2.4305
,,25,28 Apr 2025,2.3991
,,28,29 Apr 2025,2.3885
,,29,30 Apr 2025,2.3778
,,30,02 May 2025,2.3587
,May,02,05 May 2025,2.3472
,,05,06 May 2025,2.3460
,,06,07 May 2025,2.3431
,,07,08 May 2025,2.3385
,,08,09 May 2025,2.3349
,,09,13 May 2025,2.3241
,,13,14 May 2025,2.3229
,,14,15 May 2025,2.3204
,,15,16 May 2025,2.3175
,,16,19 May 2025,2.3075
,,19,20 May 2025,2.3042
,,20,21 May 2025,2.3004
,,21,22 May 2025,2.2976
,,22,23 May 2025,2.2951
,,23,26 May 2025,2.2919
,,26,27 May 2025,2.2884
,,27,28 May 2025,2.2829
,,28,29 May 2025,2.2812
,,29,30 May 2025,2.2795
,,30,02 Jun 2025,2.2692
,Jun,02,03 Jun 2025,2.2653
,,03,04 Jun 2025,2.2597
,,04,05 Jun 2025,2.2517
,,05,06 Jun 2025,2.2423
,,06,09 Jun 2025,2.2181
,,09,10 Jun 2025,2.2112
,,10,11 Jun 2025,2.2075
,,11,12 Jun 2025,2.2050
,,12,13 Jun 2025,2.2013
,,13,16 Jun 2025,2.1825
,,16,17 Jun 2025,2.1759
,,17,18 Jun 2025,2.1685
,,18,19 Jun 2025,2.1616
,,19,20 Jun 2025,2.1542
,,20,23 Jun 2025,2.1280
,,23,24 Jun 2025,2.1174
,,24,25 Jun 2025,2.1055
,,25,26 Jun 2025,2.0925
,,26,27 Jun 2025,2.0797
,,27,30 Jun 2025,2.0607
,,30,01 Jul 2025,2.0533
,Jul,01,02 Jul 2025,2.0470
,,02,03 Jul 2025,2.0392
,,03,04 Jul 2025,2.0320
,,04,07 Jul 2025,2.0046
,,07,08 Jul 2025,1.9937
,,08,09 Jul 2025,1.9856
,,09,10 Jul 2025,1.9778
,,10,11 Jul 2025,1.9701
,,11,14 Jul 2025,1.9504
,,14,15 Jul 2025,1.9436
,,15,16 Jul 2025,1.9353
,,16,17 Jul 2025,1.9274
,,17,18 Jul 2025,1.9176
,,18,21 Jul 2025,1.8885
,,21,22 Jul 2025,1.8791
,,22,23 Jul 2025,1.8715
,,23,24 Jul 2025,1.8675
,,24,25 Jul 2025,1.8648
,,25,28 Jul 2025,1.8574
,,28,29 Jul 2025,1.8531
,,29,30 Jul 2025,1.8497
,,30,31 Jul 2025,1.8495
,,31,01 Aug 2025,1.8450
,Aug,01,04 Aug 2025,1.8230
,,04,05 Aug 2025,1.8161
,,05,06 Aug 2025,1.8098
,,06,07 Aug 2025,1.8030
,,07,08 Aug 2025,1.7978
,,08,11 Aug 2025,1.7769
,,11,12 Aug 2025,1.7698
,,12,13 Aug 2025,1.7602
,,13,14 Aug 2025,1.7491
,,14,15 Aug 2025,1.7395
,,15,18 Aug 2025,1.7088
,,18,19 Aug 2025,1.6993
,,19,20 Aug 2025,1.6919
,,20,21 Aug 2025,1.6873
,,21,22 Aug 2025,1.6808
,,22,25 Aug 2025,1.6497
,,25,26 Aug 2025,1.6375
,,26,27 Aug 2025,1.6252
,,27,28 Aug 2025,1.6111
,,28,29 Aug 2025,1.5986
,,29,01 Sep 2025,1.5638
,Sep,01,02 Sep 2025,1.5488
,,02,03 Sep 2025,1.5358
,,03,04 Sep 2025,1.5320
,,04,05 Sep 2025,1.5310
,,05,08 Sep 2025,1.5387
,,08,09 Sep 2025,1.5405
,,09,10 Sep 2025,1.5427
,,10,11 Sep 2025,1.5389
,,11,12 Sep 2025,1.5329
,,12,15 Sep 2025,1.5206
,,15,16 Sep 2025,1.5165
,,16,17 Sep 2025,1.5095
,,17,18 Sep 2025,1.5036
,,18,19 Sep 2025,1.4959
,,19,22 Sep 2025,1.4879
,,22,23 Sep 2025,1.4839
,,23,24 Sep 2025,1.4800
,,24,25 Sep 2025,1.4749
,,25,26 Sep 2025,1.4703
,,26,29 Sep 2025,1.4599
,,29,30 Sep 2025,1.4571
,,30,01 Oct 2025,1.4532
,Oct,01,02 Oct 2025,1.4489
,,02,03 Oct 2025,1.4444
,,03,06 Oct 2025,1.4356
,,06,07 Oct 2025,1.4302
,,07,08 Oct 2025,1.4254
,,08,09 Oct 2025,1.4209
,,09,10 Oct 2025,1.4196
,,10,13 Oct 2025,1.4121
,,13,14 Oct 2025,1.4075
,,14,15 Oct 2025,1.4034
,,15,16 Oct 2025,1.4001
,,16,17 Oct 2025,1.3956
,,17,21 Oct 2025,1.3966
,,21,22 Oct 2025,1.3958
,,22,23 Oct 2025,1.3927
,,23,24 Oct 2025,1.3854
,,24,27 Oct 2025,1.3641
,,27,28 Oct 2025,1.3561
,,28,29 Oct 2025,1.3469
,,29,30 Oct 2025,1.3371
,,30,31 Oct 2025,1.3297
,,31,03 Nov 2025,1.3203
,Nov,03,04 Nov 2025,1.3143
,,04,05 Nov 2025,1.3068
,,05,06 Nov 2025,1.2978
,,06,07 Nov 2025,1.2897
,,07,10 Nov 2025,1.2675
,,10,11 Nov 2025,1.2619
,,11,12 Nov 2025,1.2551
,,12,13 Nov 2025,1.2499
,,13,14 Nov 2025,1.2459
,,14,17 Nov 2025,1.2390
,,17,18 Nov 2025,1.2400
,,18,19 Nov 2025,1.2389
,,19,20 Nov 2025,1.2362
,,20,21 Nov 2025,1.2328
,,21,24 Nov 2025,1.2434
,,24,25 Nov 2025,1.2434
,,25,26 Nov 2025,1.2428
,,26,27 Nov 2025,1.2452
,,27,28 Nov 2025,1.2496
,,28,01 Dec 2025,1.2530
,Dec,01,02 Dec 2025,1.2564
,,02,03 Dec 2025,1.2565
,,03,04 Dec 2025,1.2508
,,04,05 Dec 2025,1.2456
,,05,08 Dec 2025,1.2269
,,08,09 Dec 2025,1.2216
,,09,10 Dec 2025,1.2144
,,10,11 Dec 2025,1.2101
,,11,12 Dec 2025,1.2069
,,12,15 Dec 2025,1.2004
,,15,16 Dec 2025,1.1980
,,16,17 Dec 2025,1.1995
,,17,18 Dec 2025,1.2011
,,18,19 Dec 2025,1.2029
,,19,22 Dec 2025,1.1968
,,22,23 Dec 2025,1.1958
,,23,24 Dec 2025,1.1954
,,24,26 Dec 2025,1.1946
,,26,29 Dec 2025,1.1895
,,29,30 Dec 2025,1.1891
,,30,31 Dec 2025,1.1906
,,31,02 Jan 2026,1.1857


SORA Value Date,,,SORA Publication Date,Compound SORA - 3 month
2026,Jan,02,05 Jan 2026,1.1797
,,05,06 Jan 2026,1.1781
,,06,07 Jan 2026,1.1793
,,07,08 Jan 2026,1.1778
,,08,09 Jan 2026,1.1754
,,09,12 Jan 2026,1.1620
,,12,13 Jan 2026,1.1569
,,13,14 Jan 2026,1.1530
,,14,15 Jan 2026,1.1505
,,15,16 Jan 2026,1.1517
,,16,19 Jan 2026,1.1499
,,19,20 Jan 2026,1.1460
,,20,21 Jan 2026,1.1415
,,21,22 Jan 2026,1.1383
,,22,23 Jan 2026,1.1384
,,23,26 Jan 2026,1.1436
,,26,27 Jan 2026,1.1458
,,27,28 Jan 2026,1.1465
,,28,29 Jan 2026,1.1505
,,29,30 Jan 2026,1.1559
,,30,02 Feb 2026,1.1502
,Feb,02,03 Feb 2026,1.1478
,,03,04 Feb 2026,1.1472
,,04,05 Feb 2026,1.1463
,,05,06 Feb 2026,1.1469
,,06,09 Feb 2026,1.1454
,,09,10 Feb 2026,1.1451


" After a review of the market demand and usage of MAS-administered financial benchmarks, a decision was made to discontinue the following domestic interest rates with effect from 1 January 2014: "
"    *  Interbank (overnight, 1-week, 1-month, 2-month, 3-month, 6-month, 12-month)"
"    *  3-month commercial bills"
"    *  SGS Overnight Repo"
" Historical data for these rates will still be available on the MAS website. For further enquiries, please contact the Monetary and Domestic Markets Management Department at 6229 9150."
" The Singapore Overnight Rate Average or SORA is the volume-weighted average rate of borrowing transactions in the unsecured overnight interbank SGD cash market in Singapore between 8.00am and 6.15pm."
" The SORA Publication Date is the same date as the SORA Compounded Index Value Date."
" For the Singapore Interbank Offered Rates (SIBOR) and Swap Offer Rates (SOR), please refer to the Association of Banks in Singapore's website."
